BJÖRKSNÄS,79247598,2040,Beds,        Bed frame/          140x200 cm,K Hagberg/M Hagberg/IKEA of Sweden,42,160
NORDLI,9241420,2290,Beds,        Bed frame w storage and headboard/          140x200 cm,Ola Wihlborg,16,240
FYRESDAL,20424362,549,Beds,        Day-bed frame/          80x200 cm,K Hagberg/M Hagberg,94,88
MYDAL,20467629,895,Beds,        Bunk bed frame/          90x200 cm,IKEA of Sweden,157,97
TUFFING,239233,475,Beds,        Bunk bed frame/          90x200 cm,IKEA of Sweden,130,96
SÄBÖVIK,29239459,1745,Beds,        Divan bed/          140x200 cm,IKEA of Sweden,90,140
LYCKSELE,60116960,100,Beds,        Storage box 2-seat sofa-bed,IKEA of Sweden,21,92
TARVA,89019992,871,Beds,        Bed frame/          140x200 cm,IKEA of Sweden/K Hagberg/M Hagberg,,148
BUSUNGE,70305700,795,Beds,        Extendable bed/          80x200 cm,Carl Öjerstam,,90
MARKERAD,40433902,480,Beds,        Day-bed frame/          80x200 cm,Virgil Abloh,20,80
GJÖRA,79129986,1640,Beds,        Bed frame/          140x200 cm,Monika Mulder/IKEA of Sweden,,154
UTÅKER,360484,695,Beds,        Stackable bed/          80x200 cm,Henrik Preutz,2,83
BRYNE,44361010,49,Beds,        0 Easy to keep clean since you can remove the fabric and wash it by machine.NEVER use for infants and young children.WARNING! Entanglement and strangulation hazard.The net is not intended to be used as,,,
KURA,80253809,745,Beds,        Reversible bed/          90x200 cm,T Christensen/K Legaard,116,99
FRIHETEN,39216754,1846,Beds,        Corner sofa-bed with storage,IKEA of Sweden,66,
VITVAL,10448325,295,Beds,        Underbed/          90x200 cm,Tord Björklund,20,90
LURÖY,30160209,100,Beds,        Slatted bed base/          80x200 cm,IKEA of Sweden,4,80
DELAKTIG,99287550,2195,Beds,        Bed frame with headboard/          160x200 cm,Tom Dixon/IKEA of Sweden,99,164
STUVA,19268763,1725,Beds,        Loft bed combo w 2 shlvs/3 shlvs/          207x99x182 cm,IKEA of Sweden/Ebba Strandmark,182,
VIMLE,49303393,1400,Beds,        Cover for corner sofa-bed/ 4-seat,Ehlén Johansson,,
KONGSFJORD,89186778,8551,Beds,        Divan bed/          180x200 cm,Ola Wihlborg/IKEA of Sweden/Synnöve Mork,135,180
NYHAMN,9306416,1470,Beds,        Sofa-bed with triple cushion,IKEA of Sweden/L Hilland/Lisa Hilland,90,200
ASKEBY,70284203,995,Beds,        Two-seat sofa-bed,"702.842.03 A sofa-bed with small, neat dimensions which is easy to furnish with, even when space is limited.Readily converts into a bed.Fixed cover.",72,149
SUNDVIK,49046068,849,Beds,        Ext bed frame with slatted bed base/          80x200 cm,IKEA of Sweden,80,
SOLGUL,70362427,395,Beds,        Cradle with foam mattress/          66x84 cm,IKEA of Sweden,53,66
VIKARE,30099293,95,Beds,        Guard rail,IKEA of Sweden,7,
VALLENTUNA,39277498,1848,Beds,        Sofa-bed module with backrests,Fredriksson/L Löwenhielm/Hilland,84,113
SVÄRTA,10247973,895,Beds,        Bunk bed frame/          90x200 cm,Tord Björklund,159,97
LYCKSELE MURBO,19166180,1445,Beds,        Two-seat sofa-bed,IKEA of Sweden,87,142
LYCKSELE LÖVÅS,102065,495,Beds,        Mattress/          140x188 cm,IKEA of Sweden,,
BRYNILEN,60299691,30,Beds,        Leg/          10 cm,Ola Wihlborg,,
SUFFLETT,80332468,85,Beds,        Bed tent/          70/80/90,IKEA of Sweden,80,
LÖVA,90338403,55,Beds,        Bed canopy,A Huldén/S Dahlman,,90
FLEKKE,20320128,1495,Beds,        Day-bed frame with 2 drawers/          80x200 cm,K Hagberg/M Hagberg,86,88
STUVA / FÖLJA,89275265,1915,Beds,        Loft bed combo w 2 drawer/2 doors/          207x99x182 cm,IKEA of Sweden/Ebba Strandmark,182,
GRÄLVIKEN,70340567,1995,Beds,        3-seat sofa-bed,IKEA of Sweden,74,225
HOLMSUND,89240761,2295,Beds,        Three-seat sofa-bed,K Hagberg/M Hagberg,96,230
STUVA / FRITIDS,79253259,1990,Beds,        Loft bed combo w 3 drawers/2 doors/          207x99x182 cm,Ebba Strandmark/IKEA of Sweden,182,
GRÖNLID,29278101,3595,Beds,        2-seat sofa-bed,IKEA of Sweden/Francis Cayouette/Ehlén Johansson,104,196
GONATT,257953,1095,Beds,        Cot/          60x120 cm,J Asshoff/H Brogård,103,66
BRENNÅSEN,20299688,30,Beds,        Leg/          10 cm,Ola Wihlborg,,7
BRÅTHULT,9217849,1991,Beds,        Corner sofa-bed,Lisa Hilland/David Wahl/IKEA of Sweden,69,212
LIDHULT,29277639,9585,Beds,        Corner sofa-bed/ 6-seat,Henrik Preutz/IKEA of Sweden,102,387
BURFJORD,40299687,40,Beds,        Leg/          10 cm,Ola Wihlborg,,55
GULLIVER,10248519,595,Beds,        Cot/          60x120 cm,IKEA of Sweden,80,66
FLOTTEBO,89300750,2236,Beds,        Sofa-bed with side table/          120 cm,C Halskov/H Dalsgaard,79,200
SULTAN,45932080,50,Beds,        Supporting leg,IKEA of Sweden,,
BÅTSFJORD,10309616,30,Beds,        Leg/          10 cm,Ehlén Johansson,,
SANDBACKEN,79217902,1841,Beds,        Corner sofa-bed,David Wahl/Lisa Hilland/IKEA of Sweden,69,212
LYCKSELE HÅVET,60102067,795,Beds,        Mattress/          140x188 cm,IKEA of Sweden,,
BJORLI,70299695,40,Beds,        Leg/          10 cm,Ola Wihlborg,,
BRATTVÅG,80309613,50,Beds,        Leg/          10 cm,Ola Wihlborg,,
JONAXEL,59297141,135,Bookcases & shelving units,        Frame with mesh baskets/          25x51x70 cm,IKEA of Sweden,70,25
OLAUS,59201841,290,Bookcases & shelving units,        1 shelf section/          92x36x181 cm,IKEA of Sweden,181,92
KOLBJÖRN,450347,345,Bookcases & shelving units,        Cabinet in/outdoor/          80x81 cm,IKEA of Sweden,81,80
IVAR,99303461,1385,Bookcases & shelving units,        Shelv unit w table/cabinets/drawers/          175x30-104x179 cm,IKEA of Sweden,179,175
GERSBY,70261131,95,Bookcases & shelving units,        Bookcase/          60x180 cm,IKEA of Sweden,180,60
KALLAX,20275814,115,Bookcases & shelving units,        Shelving unit/          77x77 cm,Tord Björklund,77,77
LACK,60282186,199,Bookcases & shelving units,        Wall shelf unit/          30x190 cm,C Halskov/H Dalsgaard,190,30
HYLLIS,278578,59,Bookcases & shelving units,        Shelving unit/          60x27x140 cm,IKEA of Sweden,140,60
LAIVA,40178591,85,Bookcases & shelving units,        Bookcase/          62x165 cm,Jon Karlsson,165,62
SVALNÄS,40322876,270,Bookcases & shelving units,        Desk space with 2 drawers/          81x35 cm,Jon Karlsson,,81
VITTSJÖ,90305803,245,Bookcases & shelving units,        Shelving unit/          100x93 cm,Johan Kroon,93,100
BILLY,263850,185,Bookcases & shelving units,        Bookcase/          80x28x202 cm,Gillis Lundgren,202,80
HEJNE,39031411,165,Bookcases & shelving units,        1 section/          78x31x171 cm,IKEA of Sweden,171,78
LOMMARP,40415465,476,Bookcases & shelving units,        Bookcase/          65x199 cm,Francis Cayouette,199,65
FJÄLLBO,50339292,495,Bookcases & shelving units,        Shelving unit/          100x95 cm,Johan Kroon,95,100
OBSERVATÖR,20312492,15,Bookcases & shelving units,        Clip-on basket,Henrik Preutz,18,30
EKET,19189030,656,Bookcases & shelving units,        Wall-mounted cabinet combination/          80x35x210 cm,IKEA of Sweden/Jon Karlsson,210,80
GNEDBY,40277143,125,Bookcases & shelving units,        Shelving unit/          202 cm,IKEA of Sweden,202,20
LIATORP,50279066,450,Bookcases & shelving units,        Panel/glass door/          44x198 cm,Carina Bengs,198,44
BESTÅ,80295526,25,Bookcases & shelving units,        Shelf/          56x16 cm,IKEA of Sweden,,56
BILLY / OXBERG,69281804,915,Bookcases & shelving units,        Bookcase with glass-doors/          120x30x202 cm,Gillis Lundgren,202,120
FINNBY,10261129,149,Bookcases & shelving units,        Bookcase/          60x180 cm,IKEA of Sweden,180,60
VILTO,90344456,275,Bookcases & shelving units,        Shelving unit/          46x150 cm,Maja Ganszyniec,150,46
BRUSALI,70302283,237,Bookcases & shelving units,        Bookcase/          67x190 cm,IKEA of Sweden,190,67
BESTÅ / EKET,99286838,1719,Bookcases & shelving units,        Cabinet combination for TV/          210x40x220 cm,Jon Karlsson/IKEA of Sweden,220,210
STUK,20417205,35,Bookcases & shelving units,        Storage case/          55x51x18 cm,IKEA of Sweden,18,55
BOTTNA,90394470,15,Bookcases & shelving units,        Book-end,K Hagberg/M Hagberg,15,13
ALGOT,40218554,15.6,Bookcases & shelving units,        Shelf/          40x38 cm,Francis Cayouette,,40
